ward,type,location,year,est_cost,id,point_location,lat,long,query
10,Sidewalk Menu,10740 S AVENUE F,2022,2267.96,8020,10740 S AVENUE F,41.70012836500007,-87.53045760899994,census
9,Sidewalk Menu,10744 S EBERHART AVE,2022,6710.71,6897,10744 S EBERHART AVE,41.699072268000066,-87.61110461499999,census
10,Sidewalk Menu,10749 S AVENUE H,2022,1577.48,8021,10749 S AVENUE H,41.70001590100003,-87.53285542999998,census
10,Sidewalk Menu,10751 S AVENUE G,2020,5888.61,7909,10751 S AVENUE G,41.699976553000056,-87.53164739599998,census
10,Sidewalk Menu,10755 S AVENUE F,2016,6462.19,7756,10755 S AVENUE F,41.69991029700003,-87.53044372599999,census
34,Sidewalk Menu,10756 S LOWE AVE,2017,1381.86,27915,10756 S LOWE AVE,41.698462938000034,-87.63893632199995,census
34,Sidewalk Menu,10756 S LOWE AVE,2018,15056.86,27943,10756 S LOWE AVE,41.698462938000034,-87.63893632199995,census
10,Sidewalk Menu,10757 S GREEN BAY AVE,2021,4323.52,7953,10757 S GREEN BAY AVE,41.69993950800006,-87.54133532399999,census
6,Street Light Upgrade Menu,108 E 83RD ST,2019,500,4681,108 E 83RD ST,41.743892,-87.6207397,google
44,Miscellaneous Other,108 signs will be posted in the designated areas of the ward,2013,10497,35568,108 signs will be posted in the designated areas of the ward,41.8914528,-87.6273439,google
10,POD Camera,108 th & Buffalo,2007,36000,40647,108 th & Buffalo,41.6991248,-87.5437694,google
2,Street Light Residential Staggered Piggy Back Menu,108 W GERMANIA PL,2019,12052.76,2253,108 W GERMANIA PL,41.91043476800007,-87.63175548299995,census
34,Guardrail Menu,10800 S EGGLESTON AV,2008,800,27392,10800 S EGGLESTON AV,41.69777615000004,-87.63411214499996,census
10,Street Lighting,10800 S HOXIE AVE,2011,3500,7517,10800 S HOXIE AVE,41.699077060000036,-87.56076097499994,census
10,Sidewalk Menu,10800 S TORRENCE AVE,2021,1455.29666666667,40695,10800 S TORRENCE AVE,41.699047472000075,-87.55955447099996,census
9,High Definition Camera,10800 S. Langley,2013,22500,6631,10800 S. Langley,41.6973572,-87.6059593,google
10,Sidewalk Menu,10801 S MACKINAW AVE,2019,12530,7880,10801 S MACKINAW AVE,41.69899462800004,-87.54255334999993,census
10,POD Camera,10801 S. Hoxie,2010,1800,7513,10801 S. Hoxie,41.69907717700005,-87.56074629099999,census
10,Sidewalk Menu,10810 S AVENUE N,2019,4094,7869,10810 S AVENUE N,41.6986874,-87.5392041,google
10,Bollard Menu,10810 S BUFFALO AV,2007,4284,7279,10810 S BUFFALO AV,41.698836190000065,-87.54377802099998,census
10,Sidewalk Menu,10823 S AVENUE O,2021,4808.5,7954,10823 S AVENUE O,41.698639756000034,-87.54007661899999,census
10,Sidewalk Menu,10825 S AVENUE B,2019,9089,7881,10825 S AVENUE B,41.698532956000065,-87.52577145699996,census
10,Sidewalk Menu,10826 S AVENUE N,2017,4044.46,7788,10826 S AVENUE N,41.6983363,-87.539222,google
10,Sidewalk Menu,10836 S AVENUE J,2020,6176.42,7911,10836 S AVENUE J,41.698396882000054,-87.53408205299996,census
10,Alley Speed Hump Menu,10836 S EWING AVE,2019,700,7861,10836 S EWING AVE,41.698402464000026,-87.53528801899995,census
10,Sidewalk Menu,10844 S AVENUE J,2021,5577.62,7955,10844 S AVENUE J,41.69827284000007,-87.53408205299996,census
10,Sidewalk Menu,10858 S GREEN BAY AVE,2021,3746.5,40698,10858 S GREEN BAY AVE,41.698091317000035,-87.54135000899998,census
10,Sidewalk Menu,10859 S MACKINAW AVE,2017,20765.91,7785,10859 S MACKINAW AVE,41.698091324000075,-87.54255334999993,census
19,Miscellaneous CDOT Projects,10859 S TALMAN AVE,2022,660,15856,10859 S TALMAN AVE,41.69613036700008,-87.68743494599994,census
10,POD Camera,10900 S. Ave. J,2009,25000,7478,10900 S. Ave. J,41.697144836000064,-87.53408205299996,census
34,Street Light Arterial,10905 S NORMAL,2012,3500,27681,10905 S NORMAL,41.6958589,-87.6349673,google
9,Guardrail Menu,10909 S COTTAGE GROVE AV,2007,1200,6419,10909 S COTTAGE GROVE AV,41.6964893,-87.6083009,google
10,Sidewalk Menu,10918 S BUFFALO AVE,2021,1355.82,7956,10918 S BUFFALO AVE,41.69690416700007,-87.54378794399997,census
10,Sidewalk Menu,10927 S AVENUE L,2021,12254.54,7957,10927 S AVENUE L,41.696747369000036,-87.53647930099999,census
10,Street Resurfacing Menu,10931 S BUFFALO AVE,2020,4382.495,40689,10931 S BUFFALO AVE,41.69671848000007,-87.54377408699997,census
10,Street Resurfacing Menu,10939 S BUFFALO AVE,2020,4382.495,40690,10939 S BUFFALO AVE,41.69659471400007,-87.54377463799995,census
10,Sidewalk Menu,10946 S EWING AVE,2022,5740.94,8022,10946 S EWING AVE,41.69643520000005,-87.53528801899995,census
19,Street Resurfacing Menu,10954 S FAIRFIELD AVE,2021,1699.845,41320,10954 S FAIRFIELD AVE,41.694346204000055,-87.68985561399995,census
27,POD Camera,11 locations,2007,192000,21773,11 locations,NA,NA,google
4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,110 E ROOSEVELT RD,2021,27410,40405,110 E ROOSEVELT RD,41.8675835,-87.6237896,google
5,Sidewalk Menu,1100 E MIDWAY PLAISANCE,2016,17712.505,40429,1100 E MIDWAY PLAISANCE,41.7871844,-87.5992537,google
37,Street Speed Hump Menu,1100 N KEDVALE AVE,2018,1850,30373,1100 N KEDVALE AVE,41.90093181900005,-87.72995028299994,census
37,Street Lighting,1100 N LATROBE AV,2006,2200,29898,1100 N LATROBE AV,41.900553881000064,-87.75697357199994,census
29,Curb & Gutter Menu,1100 N MAYFIELD AVE,2019,6244.77,42046,1100 N MAYFIELD AVE,41.9003599,-87.7732009,google
27,2 POD CAMERAS: 1100 N MONTICELLO AVE & 1200 N MONTICELLO AVE,1100 N MONTICELLO AVE,2019,24776,41911,1100 N MONTICELLO AVE,41.90102245700007,-87.71772593299994,census
29,Sidewalk Menu,1100 N PARKSIDE AVE,2018,27556.12,23571,1100 N PARKSIDE AVE,41.90041594300004,-87.76680913399997,census
27,POD Camera: 1100 N. Ridgeway Ave,1100 N RIDGEWAY AVE,2019,24776,22224,1100 N RIDGEWAY AVE,41.90101012900004,-87.72016506199998,census
2,1 PTZ Camera - NW 1100 N State,1100 N STATE ST,2022,24776,2328,1100 N STATE ST,41.86721240700007,-87.62749110299995,census
49,Street Speed Hump Menu,1100 W ALBION AVE,2016,1850,39531,1100 W ALBION AVE,42.00258241600005,-87.65906743599999,census
48,Street Lighting,1100 W BERWYN AV,2009,800,38521,1100 W BERWYN AV,41.97817389000005,-87.65857931499994,census
43,In-Road State Law Stop For Pedestrians Sign Menu,1100 W FULLERTON AVE,2022,175,43105,1100 W FULLERTON AVE,41.9256224,-87.6562694,google
43,Sidewalk Menu,1100 W WEBSTER AVE,2020,45855.65,35187,1100 W WEBSTER AVE,41.921704917000056,-87.65601043999999,census
44,Street Light Upgrade Menu,1100 W WOLFRAM ST,2017,500,35857,1100 W WOLFRAM ST,41.93350971600006,-87.65645908499994,census
25,POD Camera,1100 W. 18 th St.,2009,16738,20308,1100 W. 18 th St.,41.858003377000045,-87.65341231199994,census
25,POD Camera,1100 W. 18 th St.,2010,8262,20449,1100 W. 18 th St.,41.858003377000045,-87.65341231199994,census
5,Sidewalk Menu,1101 E MIDWAY PLAISANCE,2016,17712.505,40430,1101 E MIDWAY PLAISANCE,41.7871844,-87.5992537,google
37,Miscellaneous CDOT Projects,1101 N LONG AVE,2019,6000,30383,1101 N LONG AVE,41.90040434900004,-87.76082274899994,census
29,Curb & Gutter Menu,1101 N MAYFIELD AVE,2019,5163.43666666667,42048,1101 N MAYFIELD AVE,41.9003645,-87.7725939,google
24,Sidewalk Menu,1101 S KEELER AVE,2021,17633.09,19894,1101 S KEELER AVE,41.86789044100004,-87.73011645899999,census
28,Sidewalk Menu,1101 S RICHMOND ST,2021,2095.88,23045,1101 S RICHMOND ST,41.8681774,-87.6992747,google
49,Sidewalk Menu,1101 W NORTH SHORE AVE,2021,2312.33,39690,1101 W NORTH SHORE AVE,42.00370936400003,-87.65876307699995,census
27,Sidewalk Menu,1103 N RIDGEWAY AVE,2021,3214.67,22270,1103 N RIDGEWAY AVE,41.901033950000055,-87.72015085799995,census
9,Sidewalk Menu,11036 S INDIANA AVE,2022,11533.455,40639,11036 S INDIANA AVE,41.6932975,-87.6185415,google
19,Miscellaneous-CDOT,11039 S Christiana,2010,15369,15479,11039 S Christiana,41.6923038,-87.7043086,google
34,Sidewalk Menu,1104 W 104TH PL,2016,2346.18,27871,1104 W 104TH PL,41.70412154300004,-87.65031678399998,census
34,Sidewalk Menu,1104 W 104TH PL,2017,3198.36,27914,1104 W 104TH PL,41.70412154300004,-87.65031678399998,census
34,Sidewalk Menu,1104 W 104TH PL,2018,8739.36,27941,1104 W 104TH PL,41.70412154300004,-87.65031678399998,census
34,Sidewalk Menu,1104 W 104TH PL,2018,28335.22,27942,1104 W 104TH PL,41.70412154300004,-87.65031678399998,census
9,Sidewalk Menu,11040 S INDIANA AVE,2022,11533.455,40640,11040 S INDIANA AVE,41.6931899,-87.6185126,google
34,Guardrail Menu,11043 S VINCENNES AV,2006,460,27248,11043 S VINCENNES AV,41.69281704000008,-87.66283807299999,census
34,Bollard Menu,11044 S PRINCETON AV,2006,1428,27241,11044 S PRINCETON AV,41.69320410600005,-87.63032981199996,census
10,Sidewalk Menu,11045 S AVENUE L,2022,4461.82,8023,11045 S AVENUE L,41.69464909000004,-87.53647930099999,census
10,Sidewalk Menu,11048 S AVENUE N,2019,14798,7874,11048 S AVENUE N,41.6940816,-87.5391798,google
29,Miscellaneous CDOT Projects,1105 N MASSASOIT AVE,2021,150,23670,1105 N MASSASOIT AVE,41.90047929100007,-87.76922965499995,census
1,Sidewalk Menu,1107 N HERMITAGE AVE,2016,443.94,40231,1107 N HERMITAGE AVE,41.9024648,-87.6708901,google
29,Miscellaneous CDOT Projects,1107 N MASSASOIT AVE,2021,150,23671,1107 N MASSASOIT AVE,41.90051050900007,-87.76923069499998,census
26,Alley Apron Menu,1107 N SACRAMENTO AVE,2018,20904.63,21445,1107 N SACRAMENTO AVE,41.901334675000044,-87.70176700299999,census
25,Sidewalk Menu,1108 W MADISON ST,2016,4971.26,20657,1108 W MADISON ST,41.88169473700003,-87.65497853399995,census
26,Sidewalk Menu,1109 N SACRAMENTO AVE,2016,3204.76,21375,1109 N SACRAMENTO AVE,41.90139005700007,-87.70176823399999,census
16,Curb & Gutter Menu,1109 W GARFIELD BLVD,2022,32341.79,13763,1109 W GARFIELD BLVD,41.79382133800004,-87.65282334799997,census
9,POD Camera,111 th & Vernon,2009,24000,6524,111 th & Vernon,41.6918711,-87.6121424,google
26,Alley Resurfacing Menu,1110 N MOZART ST,2022,22461.11,41838,1110 N MOZART ST,41.90131857400007,-87.69809433799998,census
34,Miscellaneous-CDOT,11100 S Halstead St.,2010,20598,27528,11100 S Halstead St.,41.69230850200006,-87.64238074099995,census
9,Sidewalk Menu,11100 S LANGLEY AVE,2019,41729.71,6811,11100 S LANGLEY AVE,41.692335025000034,-87.60599317299994,census
9,Sidewalk Menu,11100 S LANGLEY AVE,2019,6166.59,6812,11100 S LANGLEY AVE,41.692335025000034,-87.60599317299994,census
26,Sidewalk Menu,1111 N FRANCISCO AVE,2021,2847.95,41831,1111 N FRANCISCO AVE,41.90130734500008,-87.69930568899997,census
1,Sidewalk Menu,1111 N PAULINA ST,2022,3172.43,923,1111 N PAULINA ST,41.90233250700004,-87.66990690199998,census
4,Street Bump Outs Menu,1111 S WABASH AVE,2021,6190.7,3578,1111 S WABASH AVE,41.86842603900004,-87.62583856599997,census
4,Sidewalk Menu,1112 S WABASH AVE,2016,6539.65,3420,1112 S WABASH AVE,41.86908677200006,-87.62587392199998,census
25,Alley Resurfacing Menu,1112 W CULLERTON ST,2018,23494.04,20708,1112 W CULLERTON ST,41.85524219600006,-87.65391572399994,census
25,Sidewalk Menu,1112 W TAYLOR ST,2022,13593.6,20863,1112 W TAYLOR ST,41.86945605900007,-87.65477795299995,census
25,Alley Resurfacing Menu,1112 W TAYLOR ST,2021,6155.3,41693,1112 W TAYLOR ST,41.86945605900007,-87.65477795299995,census
1,Sidewalk Menu,1113 N HERMITAGE AVE,2016,443.94,40230,1113 N HERMITAGE AVE,41.902322352000056,-87.67113141699997,census
34,Street Light Upgrade Menu,11132 S ASHLAND AVE,2017,500,42543,11132 S ASHLAND AVE,41.69127942700004,-87.66235339399998,census
10,Sidewalk Menu,11137 S EWING AVE,2018,3076,7828,11137 S EWING AVE,41.692759300000034,-87.53527333499994,census
44,Alley Apron Menu,1114 W ROSCOE ST,2016,9738.07,35770,1114 W ROSCOE ST,41.94352942100005,-87.65730425399994,census
34,Street Light Upgrade Menu,11142 S ASHLAND AVE,2017,500,42542,11142 S ASHLAND AVE,41.691055723000034,-87.66251237099999,census
26,Sidewalk Menu,1115 N FRANCISCO AVE,2022,1759.97,21573,1115 N FRANCISCO AVE,41.86745214000007,-87.69836090999996,census
43,Alley Apron Menu,1115 W BELDEN AVE,2016,3180.12,34982,1115 W BELDEN AVE,41.92350180600005,-87.65670265199998,census
43,Alley Apron Menu,1115 W BELDEN AVE,2017,7736.8,35063,1115 W BELDEN AVE,41.92350180600005,-87.65670265199998,census
43,Street Light Upgrade Menu,1115 W DIVERSEY PKWY,2016,450,35052,1115 W DIVERSEY PKWY,41.932376,-87.6565005,google
44,Sidewalk Menu,1119 W GRACE ST,2018,3031.42,35881,1119 W GRACE ST,41.95106686400004,-87.65773728499994,census
10,Miscellaneous-CDOT,112 th & Ewing,2007,39000,7292,112 th & Ewing,41.691844,-87.5352604,google
34,Sidewalk Menu,11201 S GREEN ST,2021,28286.69,28034,11201 S GREEN ST,41.69037982700007,-87.64352410099997,census
37,Sidewalk Menu,1121 N KEYSTONE AVE,2019,36505.63,30386,1121 N KEYSTONE AVE,41.901288812000075,-87.72747903199996,census
27,Street Light Upgrade Menu,1122 N LAWNDALE AVE,2019,500,22228,1122 N LAWNDALE AVE,41.9016599,-87.7192137,google
26,Sidewalk Menu,1123 N SACRAMENTO AVE,2021,5689.13,21548,1123 N SACRAMENTO AVE,41.90177774000006,-87.70177873599994,census
48,Sidewalk Menu,1123 W THORNDALE AVE,2017,479.26,38804,1123 W THORNDALE AVE,41.99003248900004,-87.65921378799999,census
44,Sidewalk Menu,1123 W WELLINGTON AVE,2016,2563.73,35793,1123 W WELLINGTON AVE,41.93621661900005,-87.65730712299995,census
37,Alley Speed Hump Menu,1124 N PULASKI RD,2022,700,30474,1124 N PULASKI RD,41.901581011000076,-87.72627442399994,census
2,Street Lighting,1124 S ASHLAND AV,2009,1000,1546,1124 S ASHLAND AV,NA,NA,census
44,Miscellaneous CDOT Projects,1124 W BARRY AVE,2019,582.5,43172,1124 W BARRY AVE,41.938048620000075,-87.65739098499995,census
44,Miscellaneous CDOT Projects,1125 W WELLINGTON AVE,2019,500,43191,1125 W WELLINGTON AVE,41.93621541600004,-87.65737971899995,census
10,Curb & Gutter Menu,11256 S AVENUE H,2022,23614.28,8007,11256 S AVENUE H,41.69061540700005,-87.53287206599998,census
44,Alley Resurfacing Menu (1-1),1128 W NEWPORT AVE,2018,23116.295,43134,1128 W NEWPORT AVE,41.94442896400005,-87.65798715599999,census
26,Sidewalk Menu,1130 N FRANCISCO AVE,2021,2847.95,41830,1130 N FRANCISCO AVE,41.901537174000055,-87.69932612699995,census
49,Sidewalk Menu,1130 W NORTH SHORE AVE,2018,1321.85,39609,1130 W NORTH SHORE AVE,42.00370693900004,-87.65966913399996,census
9,POD Camera,11300 E. Edbrooke,2010,20000,6554,11300 E. Edbrooke,41.6889104,-87.6196766,google
19,POD Camera,11300 S Hermosa,2007,12000,41319,11300 S Hermosa,41.68907428600005,-87.66828198199994,census
26,Sidewalk Menu,1131 N FRANCISCO AVE,2021,2847.95,41829,1131 N FRANCISCO AVE,41.90153741000006,-87.69931139899995,census
27,Alley Speed Hump Menu,1131 N RIDGEWAY AVE,2017,350,41898,1131 N RIDGEWAY AVE,41.90135771000007,-87.72015957399998,census
44,Miscellaneous CDOT Projects,1133 W CORNELIA AVE,2019,582.5,43179,1133 W CORNELIA AVE,41.94531924300003,-87.65858838499997,census
43,Miscellaneous CDOT Projects,1135 W BELDEN AVE,2018,1000,35123,1135 W BELDEN AVE,41.92349954300005,-87.65680450499997,census
34,Bollard Menu,11352 S BISHOP ST,2006,714,27240,11352 S BISHOP ST,41.68680981400007,-87.65843244399997,census
9,Street Light Upgrade Menu,11361 S INDIANA AVE,2017,406,40620,11361 S INDIANA AVE,41.68777524500007,-87.61812142599996,census
16,Miscellaneous CDOT Projects,1137 W 63RD ST,2022,101,13765,1137 W 63RD ST,41.779616807000025,-87.65376383999995,census
44,Miscellaneous CDOT Projects,1139 W WELLINGTON AVE,2019,500,43192,1139 W WELLINGTON AVE,41.93620630400005,-87.65795714199999,census
17,Alley Resurfacing Menu,1140 W 79TH ST,2017,15039.59,14265,1140 W 79TH ST,41.75051550300003,-87.65277559699996,census
21,Sidewalk Menu,1140 W 90TH ST,2022,4301.87,17383,1140 W 90TH ST,41.7306267,-87.6524675,google
34,Curb & Gutter Menu,11400 S WALLACE ST,2016,9404.71,27861,11400 S WALLACE ST,41.6868049,-87.6376666,google
9,Street Light Upgrade Menu,11404 S INDIANA AVE,2017,406,40619,11404 S INDIANA AVE,41.6868966,-87.6184247,google
44,Alley Apron Menu,1141 W WOLFRAM ST,2016,7564.47,35776,1141 W WOLFRAM ST,41.93347698800005,-87.65782784999999,census
37,Sidewalk Menu,1142 N KARLOV AVE,2022,2988.17,30480,1142 N KARLOV AVE,41.9020662,-87.7289836,google
44,Alley Apron Menu,1142 W GEORGE ST,2022,41172.68,43247,1142 W GEORGE ST,41.934409079000034,-87.65715731799997,census
49,Alley Speed Hump Menu,1142 W NORTH SHORE AVE,2016,700,39491,1142 W NORTH SHORE AVE,42.00370408100008,-87.65986232599994,census
44,Alley Apron Menu,1142 W OAKDALE AVE,2022,18813.92,43250,1142 W OAKDALE AVE,41.93531137900004,-87.65718471199995,census
34,Curb & Gutter Menu,11421 S ASHLAND AVE,2016,2859.06,27864,11421 S ASHLAND AVE,41.720848,-87.6626996,google
9,Curb & Gutter Menu,11424 S CHAMPLAIN AVE,2020,29206.28,6838,11424 S CHAMPLAIN AVE,41.68694870100006,-87.60709422899998,census
21,Miscellaneous-BOE,1143 W 91 ST,2007,1000,16653,1143 W 91 ST,41.7286537,-87.6521253,google
44,Alley Apron Menu,1143 W GEORGE ST,2022,41172.68,43248,1143 W GEORGE ST,41.93438394100008,-87.65801172999994,census
34,Curb & Gutter Menu,11430 S PARNELL AVE,2019,4427.09,27975,11430 S PARNELL AVE,41.68612410500003,-87.63614127499994,census
37,Alley Apron Menu,1144 N LONG AVE,2017,27925.31,30303,1144 N LONG AVE,41.901492123000025,-87.76087881999996,census
44,Alley Apron Menu,1145 W OAKDALE AVE,2022,18813.92,43249,1145 W OAKDALE AVE,41.93529995700004,-87.65721577599999,census
44,Alley Apron Menu,1145 W WELLINGTON AVE,2016,1374.87,35775,1145 W WELLINGTON AVE,41.93620388000005,-87.65817284599996,census
44,Alley Apron Menu,1145 W WELLINGTON AVE,2017,10796.92,35815,1145 W WELLINGTON AVE,41.93620388000005,-87.65817284599996,census
37,Concrete Alley Menu,1146 N LECLAIRE AVE,2022,57934.295,42806,1146 N LECLAIRE AVE,41.90114013600004,-87.75330199999996,census
1,Clemente High School - Field Restoration,1147 N WESTERN AVE,2018,70100,746,1147 N WESTERN AVE,41.90216239600005,-87.68699753499999,census
44,Curb & Gutter Menu,1147 W GEORGE ST,2016,2361.3,35782,1147 W GEORGE ST,41.93438233200004,-87.65820611099997,census
44,Curb & Gutter Menu,1147 W GEORGE ST,2016,7714.53,35786,1147 W GEORGE ST,41.93438233200004,-87.65820611099997,census
49,Sidewalk Menu,1147 W PRATT BLVD,2016,8036.46,39499,1147 W PRATT BLVD,42.005546398000035,-87.66028221199997,census
1,School Projects,1148 N HONORE ST,2014,25000,587,1148 N HONORE ST,41.902508099000045,-87.67358020699999,census
1,LaSalle II School Playground Drinking Fountain,1148 N HONORE ST,2017,9300,725,1148 N HONORE ST,41.902508099000045,-87.67358020699999,census
44,Curb & Gutter Menu,1149 W CORNELIA AVE,2017,3993.18,35842,1149 W CORNELIA AVE,41.9452123,-87.658843,google
28,Alley Apron Menu,115 N KILBOURN AVE,2020,28771.06,23025,115 N KILBOURN AVE,41.878933106000034,-87.73785955699998,census
2,Curb & Gutter Menu,115 W CHICAGOAVE,2022,10184.52,40311,115 W CHICAGOAVE,41.8963217,-87.6319807,google
43,Miscellaneous CDOT Projects,1150 W DICKENS AVE,2018,616.190476190476,43031,1150 W DICKENS AVE,41.91986434900008,-87.65772264199995,census
48,Miscellaneous-CDOT,1150 W Foster (Bus Pad),2008,14471,38457,1150 W Foster,41.9763364,-87.6590936,google
10,Bollard Menu,11500 S AVENUE L,2010,7570,7480,11500 S AVENUE L,41.68623284800003,-87.53647923199998,census
27,Sidewalk Menu,1151 S WOOD ST,2021,12499.62,22271,1151 S WOOD ST,41.867457,-87.6707839,google
44,Miscellaneous Other Projects,1151 W EDDY ST,2019,1246.66666666667,43188,1151 W EDDY ST,41.94624474600005,-87.65765870499996,census
34,Sidewalk Menu,11520 S MARSHFIELD AVE,2016,1052.335,42537,11520 S MARSHFIELD AVE,41.684237160000066,-87.66269951899994,census
34,Alley Resurfacing Menu,11528 S HALSTED ST,2018,9246.52,27937,11528 S HALSTED ST,41.68453087600005,-87.64213836099998,census
43,Miscellaneous CDOT Projects,1154 W DICKENS AVE,2018,616.190476190476,43020,1154 W DICKENS AVE,41.919863371000076,-87.65776668199999,census
44,Sidewalk Menu,1154 W DIVERSEY PKWY,2015,678,35741,1154 W DIVERSEY PKWY,41.9326895,-87.6580175,google
10,Rowan Park- park improvements,11546 S AVENUE L,2016,75000,7746,11546 S AVENUE L,41.685524454000074,-87.53647605899994,census
10,Rowan Park - Baseball Field Improvements,11546 S AVENUE L,2018,160000,7824,11546 S AVENUE L,41.685524454000074,-87.53647605899994,census
44,Alley Apron Menu,1155 W EDDY ST,2021,10660.12,35939,1155 W EDDY ST,41.94624364300006,-87.65771810699994,census
43,Miscellaneous CDOT Projects,1158 W DICKENS AVE,2018,616.190476190476,43032,1158 W DICKENS AVE,41.91986239200003,-87.65781072299995,census
24,Sidewalk Menu,1159 S KEELER AVE,2021,46955.14,19895,1159 S KEELER AVE,41.8666219,-87.7297375,google
29,Curb & Gutter Menu,116 S CENTRAL AVE,2020,65259.49,42060,116 S CENTRAL AVE,41.87832341400008,-87.76479860099994,census
34,Alley Apron Menu,11600 S LAFLIN ST,2017,25272.6,27904,11600 S LAFLIN ST,41.682890833000044,-87.65911981999994,census
34,Sidewalk Menu,11616 S ABERDEEN ST,2017,13171.57,27913,11616 S ABERDEEN ST,41.6826236,-87.6496925,google
4,POD Camera,1163 E 43RD ST,2017,27011,3463,1163 E 43RD ST,41.81691720400005,-87.59744528099998,census
42,Bollard Menu,1164 N DEARBORN ST,2005,2856,33439,1164 N DEARBORN ST,41.90345753200006,-87.62997631799999,census
